iso_2,lyrics,iso_a3
KY," O land of soft, fresh breezes And verdant trees so fair, With the Creator’s glory Reflected ev’rywhere, O sea of palest em’rald,  Merging to darkest blue, Whene’er my thoughts fly Godward, I always think of you    Dear, verdant island, set in blue Caribbean Sea, I’m coming, coming very soon, O beautious isle, to thee Although I wandered far, My heart enshrines thee yet Homeland, fair Cayman Isle, I cannot thee forget  Away from noise of cities, Their fret and carking care, With moonbeams’ soft caresses, Unchecked by garish glare, Thy fruit with rarest juices, Abundant, rich and free, When sweet church bells are chiming, My fond heart yearns for thee   When tired of all excitement And glam’rous worldly care, How sweet thy shores to reach And find a welcome there, And when comes on the season Of peace, goodwill to man, ‘Tis then I love thee best of all, Beloved Isle, Cayman ",CYM
KZ," Sky of golden sun, Steppe of golden seed, Legend of courage – Take a look at my country!  From antiquity Our heroic glory emerged, They did not give up their pride My Kazakh people are strong!  My country, my country, As your flower I will be planted, As your song I will stream, my country! My native land – My Kazakhstan!  The way was opened to posterity I have a vast land Its unity is proper, I have an independent country  It welcomed the time Like an eternal friend, Our country is happy, Such is our country ",KAZ
LA,"For all time the Lao people have glorified their Fatherland, United in heart, spirit and vigour as one Resolutely and increasing the dignity of the Lao people And proclaiming the right to be their own masters The Lao people of all origins are equal And will no longer allow imperialists and traitors to harm them The entire people will safeguard the independence And the freedom of the Lao nation They are resolved to struggle for victory In order to lead the nation to prosperity",LAO
LB," All of us! For our Country, for our Flag and Glory! Our valour and our writings are the envy of the ages Our mountains and our valleys, they bring forth stalwart men And to Perfection all our efforts we devote All of us! For our Country, for our Flag and Glory!  All of us! For our Country  Our Elders and our children, they await our Country’s call, And on the Day of Crisis they are as Lions of the Jungle The heart of our East is ever Lebanon, May God preserve her until end of time All of us! For our Country, for our Flag and Glory!  All of us! For our Country  The Gems of the East are her land and sea Throughout the world her good deeds flow from pole to pole And her name is her glory since time began Immortality’s Symbol–the Cedar–is her Pride All of us! For our Country, for our Flag and Glory! All of us! For our Country",LBN
LC," Sons and daughters of Saint Lucia  Love the land that gave us birth  Land of beaches, hills and valleys,  Fairest isle of all the earth  Wheresoever you may roam,  Love, oh love, our island home   Gone the days when nations battled For this Helen of the West  Gone the days when strife and discord,  Dimmed her children’s toil and rest  Dawns at last a brighter day,  Stretches out a glad new way   May the Good Lord bless our island;  Guard her sons from woe and harm  May our people, live united,  Strong in soul and strong in arm  Justice, truth and charity,  Our ideals forever be",LCA
LI," High above the young Rhine Lies Liechtenstein, resting On Alpine heights This beloved homeland, This dear fatherland Was chosen for us by God’s wise hand This beloved homeland, This dear fatherland Was chosen for us by God’s wise hand  Long live Liechtenstein, Blossoming on the young Rhine, Happy and faithful! Long live the Prince of the Land, Long live our fatherland, United by brotherly bonds and free Long live the Prince of the Land, Long live our fatherland, United by brotherly bonds and free",LIE
LK,"Mother Sri Lanka  Our Sri Lanka  We salute Thee, Mother!  Plenteous in prosperity, Thou,  Beauteous in grace and love,  Laden with corn and luscious fruit  And fragrant flowers of radiant hue,  Giver of life and all good things,  Our land of joy and victory,  Receive our grateful praise sublime,  We salute Thee, Mother!    Thou gavest us Knowledge and Truth,  Thou art our strength and inward faith,  Our light divine and sentient being,  Our breath of life and liberation  Grant us, bondage free, inspiration  Inspire us for ever  In wisdom and strength renewed,  Ill-will, hatred, strife all ended,  In love enfolded, a mighty nation  Marching onward, all as one,  Lead us to fullest freedom  We salute Thee, Mother!  ",LKA
LR," All hail, Liberia, hail!  All hail, Liberia, hail!  This glorious land of liberty Shall long be ours Though new her name, Green be her fame, And mighty be her powers, And mighty be her powers, In joy and gladness With our hearts united, We’ll shout the freedom Of a race benighted, Long live Liberia, happy land! A home of glorious liberty, By God’s command! A home of glorious liberty, By God’s command!  All hail, Liberia, hail! All hail, Liberia, hail! In union strong success is sure We cannot fail! With God above Our rights to prove We will o’er all prevail, We will o’er all prevail, With heart and hand Our country’s cause defending We’ll meet the foe With valour unpretending Long live Liberia, happy land! A home of glorious liberty, By God’s command! A home of glorious liberty, By God’s command!",LBR
LS," Lesotho, land of our Fathers, You are the most beautiful country of all You give us birth, In you we are reared And you are dear to us  Lord, we ask You to protect Lesotho Keep us free from conflict and tribulations Oh, land of mine, Land of our Fathers, May you have peace",LSO
LT,"Lithuania, our homeland, Land of worshiped heroes! Let your sons draw their strength From our past experience  Let your children always follow Only roads of virtue, May your own, mankind’s well-being Be the goals they work for  May the sun above our land Bannish darkening clouds around Light and truth all along Guide our steps forever  May the love of Lithuania Brightly burn in our hearts For the sake this land Let unity blossom",LTU
LU," Where the Alzette flows through the meadows, The Sura breaks through the crags Where the vine fragrant grows along the Moselle, The sky promises us wine: There lies the land for which we willingly Dare everything down here Our homeland which we so deeply Carry in our hearts Our homeland which we so deeply Carry in our hearts  O Thou above, Whose powerful hand Leads the nations through the world, Protect the Luxembourg land From foreign yoke and threat As children Thou already instilled in us all The spirit of freedom Let freedom’s sun, which we have known for so long, Shine for evermore Let freedom’s sun, which we have known for so long, Shine for evermore",LUX
LV,"God, bless Latvia, Our dearest fatherland, Do bless Latvia, Oh, do bless it!  God, bless Latvia, Our dearest fatherland, Do bless Latvia, Oh, do bless it!  Where Latvian daughters bloom, Where Latvian sons sing, Let us dance in happiness there, In our Latvia!  Where Latvian daughters bloom, Where Latvian sons sing, Let us dance in happiness there, In our Latvia!",LVA
LY," Oh my country! With my struggle and my patience Drive off enemies and mishaps, And survive! Survive all through, we are your ransom Oh Libya!   Oh my country! You are the heritage of grandfathers, May God cast off any hand that would harm you Do survive! We are for ever your soldiers, If you survive we care not who perishes To you we give solemn pledges That we, Oh Libya, will never fail you We will never go back to fetters, we have been liberated, and we have freed our home country Libya, Libya, Libya    Our grandfathers carried their swords when struggle called on them Carrying the holy Quran in a hand, and the swords in the other They fought till they spread religion, peace and prosperity all over the world Eternity for them They have built the integrity of our country Libya, Libya, Libya   O son of Libya, oh sons of wild lions We are for glory And glory is yours Since we began our struggle, all people were with us May god protect our independence Seek the ultimate heights And be ready for the struggle, our youth Life is a war for the glory of our home land Libya, Libya, Libya ",LBY
MA,"Fountain of Freedom Source of Light Where sovereignty and safety meet, Safety and sovereignty may you ever combine! You have lived among nations With title sublime, Filling each heart, Sung by each tongue, Your champion has risen And answered your call For your soul and your body, The victory they have conquered In my mouth and in my blood Your breezes have stirred both light and fire Up! my brethren, Strive for the highest We call to the world That we are here ready We salute as our emblem God, Homeland, and King",MAR
MC,"All the time, over our country, The same flag has been flying in the wind All the time, the colours red and white Have been the symbol of our liberty Great and small have always respected them",MCO
MD," A treasure is our tongue that surges From deep shadows of the past, Chain of precious stones that scattered All over our ancient land  A burning flame is our tongue Amidst a people waking From a deathly sleep, no warning, Like the brave man of the stories  Our tongue is the greenest leaf Of the everlasting forests, Gentle river Nistru’s ripples Hiding starlight bright and shining  Our tongue is more than holy, Words of homilies of old Wept and sung perpetually In the homesteads of our folks  A treasure will spring up swiftly From deep shadows of the past, Chain of precious stones that scattered All over our ancient land",MDA
ME," O the bright dawn of May O the bright dawn of May Montenegro our mother  Montenegro our mother  We are sons of your rocks We are sons of your rocks and keepers of your honesty and keepers of your honesty  We love you, the rocky hills and their eerie gorges deep that had never to endure the shameful chains of slavery  Montenegro our mother  Montenegro our mother  O the bright dawn of May O the bright dawn of May Montenegro our mother  Montenegro our mother  While our unity gives wings to our Lovcen cause it shall brought the pride and glory to our beloved homeland  The river of our waves, that enter the two seas, shall to ocean guide the voice Montenegro is eternal  shall to ocean guide the voice Montenegro is eternal  Montenegro is eternal",MNE
MF," Where over the world, say where, You find an island there, So lovely small with nations free With people French and Dutch Though talking English much, As thee Saint Martin in the sea?  O sweet Saint Martin’s Land So bright by beach and strand With sailors on the sea and harbors free Where the chains of mountains green Variously in sunshine sheen  Oh I love thy Paradise, Nature beauty fairly nice Oh I love thy Paradise, Nature beauty fairly nice  How pretty between all green Flamboyants beaming gleam Of flowers red by sunlight set Thy cows and sheep and goats In meadows or on the roads Thy donkeys keen I can’t forget   Thy useful birds in white Their morn and evening flight Like aircrafts-wings in unity Their coming down for food Then turning back to roost Bring home to me their harmony   Saint Martin I like thy name In which Columbus fame And memories of old are closed For me a great delight Thy Southern Cross the night May God the Lord protect thy coast! ",MAF
MG," Oh, Our beloved fatherland Oh good Madagascar Our love for you will not leave, For you, for you for ever  Bless you, oh Creator This island of our ancestors To live in peace and joy Hey! We are truly blessed  Oh our beloved fatherland! We wish to serve you with The body and heart, spirit that is ours, You are precious and truly deserving   Oh our beloved fatherland! We wish that you will be blessed, So that the Creator of this world Will be the foundation of your laws ",MDG
MH,"My island lies o’er the ocean; Like a wreath of flowers upon the sea; With a light of Mekar from far above; Shining with the brilliance of rays of life; Our Father’s wondrous creation; Bequeathed to us, our Motherland; I’ll never leave my dear home sweet home; God of our forefathers protect and bless forever Marshall Islands",MHL
MK," Today over Macedonia A new sun of freedom rises, Macedonians fight For their rights Macedonians fight For their rights  Now once again flies The flag of the Krusevo Republic, Goce Delcev, Pitu Guli, Dame Gruev, Sandanski Goce Delcev, Pitu Guli, Dame Gruev, Sandanski  The Macedonian woodlands sing brightly New songs, new awakenings Free Macedonia Lives free Free Macedonia Lives free",MKD
ML," At your call, Mali,  So that you may prosper,  Faithful to your destiny,  We shall all be united,  One people, one goal, one faith  For a united Africa  If the enemy should show himself  Within or without,  On the ramparts,  We are ready to stand and die   For Africa and for you, Mali,  Our banner shall be liberty  For Africa and for you, Mali,  Our fight shall be for unity  Oh, Mali of today,  Oh, Mali of tomorrow,  The fields are flowering with hope  And hearts are thrilling with confidence   Stand up, towns and countryside,  Stand up, women, stand up young and old,  For the Fatherland on the road  Towards a radiant future  For the sake of our dignity  Let us strengthen our ranks;  For the public well-being  Let us forge the common good  Together, shoulder to shoulder,  Let us work for happiness    The road is hard, very hard,  That leads to common happiness  Courage and devotion,  Constant vigilance,  Courage and devotion,  Constant vigilance,  Truth from olden times,  The truths of every day,  Happiness through effort  Will build the Mali of tomorrow    Africa is at last arising,  Let us greet this new day  Let us greet freedom,  Let us march towards unity  Refound dignity  Supports our struggle  Faithful to our oath  To make a united Africa,  Together, arise, my brothers,  All to the place where honour calls  ",MLI
MM,"‘Til the end of the world, Myanmar!, Since she is the true inheritance from our forefathers, we love and value her ‘Til the end of the world, Myanmar!, Since she is the true inheritance from our forefathers, we love and value her We will fight and give our lives for the union This is the country and land of our own For her prosperity, we will responsibly shoulder the task, Standing as one in duty to our precious land",MMR
MN," Our unwavering independent nation All Mongols’ sacred ancestry All world’s good deeds Always stable, forever continue  With all honest nations of the world Strengthen our bonds With all our will and strength Let’s develop our beloved Mongolia  Our great nation’s symbol blesses The people’s fate supports Our ancestry, culture and language Let’s forever cherish and prosper  Bright peoples of brave Mongolia Have freedom and happiness Key to happiness, column for prosperity Our great country prosper",MNG
MP,In the middle of the sea Is where my home is That is where I will spend my days It is my desire If I ever leave this place One day I will return For I can never leave you O land of mine  A thousand times and more I will honor and salute you Beautiful islands of the Marianas Glory be to you,MNP
MR," We will protect your blood, we sacrifice for you We will paint the entire country with the colour of hope And when you call, we answer   We’ve taken a vow, we’ve taken an oath to you We joyfully gift you to the next generation FINAL  We will protect your blood, we sacrifice for you We will paint the entire country with the colour of hope We will protect your blood, we sacrifice for you And when you call, we answer",MRT
MS," Oh Montserrat, proud Motherland Your children raise your standard high In toil and tears to serve you well The emerald jewel from God’s hand  Oh Montserrat, by nature blest To you your children sing Come well or woe, come friend or foe To you your people cling  Rise up and make our country great With art and skill and sacrifice With masque and drum we celebrate Triumphant masters of our fate   We sing our land in harmony May God be her eternal guard And make Montserrat a house of hope, A haven in the Carib Sea   No pestilence shall mar your shore No fount of sadness overwhelm A people striving under God Their spirits free forevermore ",MSR
MT," To this sweet land, our mother, to which we owe our name, Guard her, Lord God, like always you have guarded, Remember her, which you have clothed with light  Give, Great God, intellect to whom who governs, Give mercy to the proprietor, and strength to the workman, To let us serve upright, true and faithful, a united people, Maltese, and in peace",MLT
MU,"Glory to thee, Motherland, O motherland of mine Sweet is thy beauty, Sweet is thy fragrance, Around thee we gather As one people, As one nation, In peace, justice and liberty Beloved country, may God bless thee For ever and ever",MUS
MV,"In National Unity do we salute our Nation In the National language do we offer our prayers and salute our Nation  We bow in respect to the Emblem of our Nation, And salute the Flag so exalted   We salute the colours of our Flag; Green, Red and White, Which symbolise Victory, Blessing and Success ",MDV
MW," O God bless our land of Malawi, Keep it a land of peace Put down each and every enemy, Hunger, disease, envy Join together all our hearts as one, That we be free from fear Bless our leader, each and every one, And Mother Malawi  Our own Malawi, this land so fair, Fertile and brave and free With its lakes, refreshing mountain air, How greatly blest are we Hills and valleys, soil so rich and rare Give us a bounty free Wood and forest, plains so broad and fair, All – beauteous Malawi  Freedom ever, let us all unite To build up Malawi With our love, our zeal and loyalty, Bringing our best to her In time of war, or in time of peace, One purpose and one goal Men and women serving selflessly In building Malawi",MWI
MX," Mexicans, at the cry of war, Grasp the steel and the bridle, And let the earth’s core tremble To the roar of the cannon  O Homeland! may your brow be wreathed with the olive By the divine archangel of Peace For in heaven, your eternal destiny Has been written by the finger of God  But if a foreign enemy should dare To profane your ground with his step, Think, o beloved Homeland! that heaven Gave you a soldier in each son   War, war without truce upon him who means To sully the blazon of the Homeland; War, war! Soak our homeland’s flags In the waves of blood  War, war! In the mountains and the valley, The dreadful cannons thunder, And the deafening echoes resound The cries of Union! Liberty!   O Homeland, before your unarmed sons Bend their necks under the yoke, Your countrysides will be watered with blood And in blood will be their footprints  And your temples, palaces, and towers Will fall with terrible thunder, And their ruins shall live to say, “This was the fatherland of a thousand heroes”   Homeland, Homeland! Your sons swear To breathe out their breath on your altars, If the clarion with its warlike tone Calls them to struggle with valour  For you the garlands of olive! For them a memory of glory! For you a laurel of victory! For them a tomb of honour! ",MEX
MY,"My country, my native land The people living united and progressive, May God bestow blessing and happiness May our Ruler have a successful reign May God bestow blessing and happiness May our Ruler have a successful reign",MYS
MZ," In the memory of Africa and the World Beautiful fatherland of that they had dared to fight Mozambique, your name is Freedom The Sun of June forever will shine  Mozambique, our Glorious Land Rock by rock constructing the new day Millions of arms in one only force O Loved fatherland we go to be successful  Mozambique, our Glorious Land Rock by rock constructing the new day Millions of arms in one only force O Loved fatherland we go to be successful  Joined people from Rovuma to Maputo It harvests the fruits of the combat for the Peace The dream grows waving in the flag It goes cultivating in the certainty of tomorrow   Flowers sprouting of the soil of your sweat For mounts, the rivers, the sea We swear for you, O Mozambique No tyrant in will go them to enslave ",MOZ
NA,Namibia land of the brave Freedom’s fight we have won Glory to their bravery Whose blood waters our freedom  We give our love and loyalty Together in unity Contrasting beautiful Namibia Namibia our country  Beloved land of savannahs Hold high the banner of liberty   Namibia our country Namibia motherland We love thee,NAM
NC," O sacred land of our ancestors, Light illuminating our lives, Prompts you to send us Their dreams, their hopes, their desires Sheltered by pine trees In the shadow of the glamourous In the valleys of thy rivers, Their heart is always present  Hnoresaluso ke’j onome Ha deko ikuja ne enetho Hue netitonelo kebo kaagu Ri nodedrane  Let us be united, become brothers, No more violence or war Walk confident and united, For our country  Land of dialogue and sharing You suggest abroad In the tribe or village A place to rest A wish to stay tolerant, With fairness and respect In the hollow of your immense arms  O Land of freedom   O land of many faces, North, South, Iles Loyauté, Your three provinces are the image Of your great diversity We, your children, we come together, Tempering our memories With one voice, sing together: Our land, you are our future ",NCL
NE,"From the shores of the Niger to the edges of the Ténéré Brothers and sisters we are Children of a same fatherland Niger Fed of the sap of the same ideals For a Niger of peace, free, strong, and united For a prosperous Niger, the country of our dreams For the honor of the fatherland Let us incarnate the valiance and the perseverance And all the virtues of our worthy forefathers Intrepid, determined and proud warriors Let us defend the homeland at the price of our blood Let us make Niger the symbol of dignity The emblem and torch of Africa advancing For these noble ideals, arise and go forward Forward for work and forward for the fight We remain standing Holding high the flag of our dear country In the sky of Africa and in the whole universe To construct together A world of justice, peace and progress And to make Niger the pride of Africa",NER
NF,"(Spoken:) Then shall the King Say unto them On his right hand:  Come ye blessed of my Father Inherit the kingdom prepared for you From the foundation of the world I was hunger’d and ye gave me meat, I was thirsty and ye gave me drink I was a stranger and ye took me in, Naked and ye clothed me, I was sick and ye visited me, I was in prison and ye came unto me In as much ye have done it unto one of the least of These my brethren Ye have done it unto me, Ye have done it unto me",NFK
NG," Arise, O compatriots, Nigeria’s call obey To serve our Fatherland With love and strength and faith The labour of our heroes past Shall never be in vain, To serve with heart and might One nation bound in freedom, peace and unity   O God of creation, Direct our noble cause; Guide our Leaders right: Help our Youth the truth to know, In love and honesty to grow, And living just and true, Great lofty heights attain, To build a nation where peace and justice shall reign",NGA
NI,"Hail to thee, Nicaragua In your land The cannon’s voice no longer roars, Nor does the blood of our brothers Stain your glorious bicoloured flag Nor does the blood of our brothers Stain your glorious bicoloured flag  Peace shines in beauty in your skies, Nothing dims your immortal glory, For work is what earns your laurels And honour is your triumphal ensign, Is your triumphal ensign",NIC
NL," William of Nassau, scion Of an old Germanic line,  I dedicate undying Faith to this land of mine A prince I am, undaunted, Of Orange, ever free, To the king of Spain I’ve granted A lifelong loyalty  I’ve ever tried to live in  The fear of God’s command  And therefore I’ve been driven  From people, home, and land,  But God, I trust, will rate me  His willing instrument  And one day reinstate me  Into my government  Let no despair betray you,  My subjects true and good  The Lord will surely stay you Though now you are pursued  He who would live devoutly Must pray God day and night To throw His power about me As champion of your right  Life and my all for others  I sacrificed, for you!  And my illustrious brothers  Proved their devotion too  Count Adolf, more’s the pity,  Fell in the Frisian fray,  And in the eternal city  Awaits the judgement day  I, nobly born, descended  From an imperial stock An empire’s prince, defended (Braving the battle’s shock Heroically and fearless As pious Christian ought) With my life’s blood the peerless Gospel of God our Lord  A shield and my reliance,  O God, Thou ever wert  I’ll trust unto Thy guidance  O leave me not ungirt  That I may stay a pious Servant of Thine for aye And drive the plagues that try us And tyranny away  My God, I pray thee, save me  From all who do pursue  And threaten to enslave me, Thy trusted servant true O Father, do not sanction Their wicked, foul design, Don’t let them wash their hands in This guiltless blood of mine  O David, thou soughtest shelter  From King Saul’s tyranny  Even so I fled this welter  And many a lord with me  But God the Lord did save him  From exile and its hell  And, in His mercy, gave him A realm in Israel  Fear not ‘t will rain sans ceasing  The clouds are bound to part  I bide that sight so pleasing  Unto my princely heart, Which is that I with honour  Encounter death in war  And meet in heaven my Donor  His faithful warrior  Nothing so moves my pity  As seeing through these lands Field, village, town and city Pillaged by roving hands O that the Spaniards rape thee My Netherlands so sweet The thought of that does grip me Causing my heart to bleed  Astride on steed of mettle  I’ve waited with my host  The tyrant’s call to battle  Who durst not do his boast  For, near Maastricht ensconced,  He feared the force I wield  My horsemen saw one bounce it  Bravely across the field  Surely if God had willed it,  When that fierce tempest blew,  My power would have stilled it Or turned its blast from you  But He who dwells in heaven,  Whence all our blessings flow,  For which aye praise be given,  Did not desire it so  Steadfast my heart remaineth  In my adversity My princely courage straineth All nerves to live and be I’ve prayed the Lord my Master With fervid heart and tense To save me from disaster And prove my innocence  Alas! my flock To sever  Is hard on us Farewell Your Shepherd wakes, wherever Dispersed you may dwell Pray God that He may ease you His gospel be your cure Walk in the steps of Jesus This life will not endure  Unto the Lord His power  I do confession make  That ne’er at any hour  Ill of the king I spake  But unto God, the greatest  Of Majesties I owe Obedience first and latest  For Justice wills it so",NLD
NO," Yes, we love this country as it rises forth, rugged, weathered, above the sea, with the thousands of homes Love, love it and think of our father and mother and the saga night that sends dreams to our earth and the saga night that sends sends dreams to our earth  This country Harald united with his army of heroes, this country Håkon protected whilst Øyvind sung; upon the country Olav painted with his blood the cross, from its heights Sverre spoke up against Rome from its heights Sverre spoke spoke up against Rome  Farmers their axes sharpened wherever an army advanced, Tordenskiold along the coastline thundered so that we could see it back home Even women stood up and fought as if they were men; others could only cry but that soon would end! others could only cry but that soon, that soon would end!  Sure, we were not many but we were enough, when we were tested sometimes, and it was at stake; we would rather burn our land than to declare defeat; just remember what happened down at Fredrikshald! just remember what happened what happened down at Fredrikshald!  Hard times we have coped with, were at last disowned; but in the worst distress, blue-eyed freedom was to us born It gave (us) father’s strength to carry famine and war, it gave death itself its honour – and it gave reconciliation it gave death itself its honour – and it gave, it gave reconciliation  The enemy threw away his weapon, up the visor went, we, in wonder, to him hastened, because he was our brother Driven forth to a stand by shame we went to the south; now we three brothers stand united, and shall stand like that! now we three brothers stand united, united, and shall stand like that!  Norseman in house and cabin, thank your great God! The country he wanted to protect, although things looked dark All the fights fathers have fought, and the mothers have wept, the Lord has quietly moved so we won our rights the Lord has quietly moved so we won, we won our rights  Yes, we love this country as it rises forth, rugged, weathered, above the sea, with those thousand homes And as the fathers’ struggle has raised it from need to victory, even we, when it is demanded, for its peace, its peace will encamp",NOR
NP,"We are hundreds of flowers, the one garland – Nepali Sovereign, spread out from Mechi to Mahakali  We are hundreds of flowers, the one garland – Nepali Sovereign, spread out from Mechi to Mahakali  Amassing nature’s millions of heritage By the blood of the braves, independent and immovable  Land of knowledge, land of peace, Terai hills, mountains Undivided this beloved, our motherland Nepal  Diverse race, language, religion, culture are so large Our progressive nation, long live, long live Nepal",NPL
NR,"Nauru our homeland, the land we dearly love, We all pray for you and we also praise your name Since long ago you have been the home of our great forefathers And will be for generations yet to come We all join in together to honour your flag, And we shall rejoice together and say; Nauru for evermore!",NRU
NU,"The Lord in Heaven Who loves Niue, Niue Who rules kindly The Almighty Who rules completely over Niue  Over Niue, Over Niue Over Niue, Over Niue  Who rules completely over Niue Who rules over Niue",NIU
NZ," God of Nations at Thy feet, In the bonds of love we meet, Hear our voices, we entreat, God defend our free land Guard Pacific’s triple star From the shafts of strife and war, Make her praises heard afar, God defend New Zealand   Men of every creed and race, Gather here before Thy face, Asking Thee to bless this place, God defend our free land From dissension, envy, hate, And corruption guard our State, Make our country good and great, God defend New Zealand   Peace, not war, shall be our boast, But, should foes assail our coast, Make us then a mighty host, God defend our free land Lord of battles in Thy might, Put our enemies to flight, Let our cause be just and right, God defend New Zealand   Let our love for Thee increase, May Thy blessings never cease, Give us plenty, give us peace, God defend our free land From dishonour and from shame, Guard our country’s spotless name, Crown her with immortal fame, God defend New Zealand   May our mountains ever be Freedoms ramparts on the sea, Make us faithful unto Thee, God defend our free land Guide her in the nations’ van, Preaching love and truth to man, Working out Thy glorious plan, God defend New Zealand",NZL
OM,"O Lord, protect for us our Majesty the Sultan And the people in our land, With honour and peace May he live long, strong and supported, Glorified be his leadership For him we shall lay down our lives May he live long, strong and supported, Glorified be his leadership For him we shall lay down our lives  O Oman, since the time of the Prophet We are a dedicated people amongst the noblest Arabs So ascend to the apex of the heavens  illuminate the cosmos  Rejoice and relish in prosperity",OMN
PA," We finally attained victory In the happy field of union With glowing splendour, The new nation is illumined  It is necessary to veil with a curtain The Calvary and Cross of the past, And for you to adorn the azure of your skies With the splendid light of concord  Progress fondly touches your homes, In time with the music of a sublime song You see, roaring at your feet, two oceans Which give direction to your noble mission    On your flower-covered soil, Kissed by the warm breeze, Warlike clamour has ended And only brotherly love reigns  Ahead, with spade and stone-mason’s hammer! To work, without more delay! In this way we shall be the honour and glory Of this fertile land of Columbus ",PAN
PE," We are free! May we always be so, may we always be so! and let the sun rather deny its light its lights, its lights…the sun! Before allow us to break the solemn vow which the motherland elevated to the Eternal Before allow us to break the solemn vow which the motherland elevated to the Eternal Before allow us to break the solemn vow which the motherland elevated to the Eternal  For a long time the oppressed Peruvian dragged the ominous chain; sentenced to a cruel servitude for a long time, for a long time for a long time in silence he moaned But as soon as the sacred cry “Liberty!” was heard on its coasts, he shook off the indolence of slavery, the humiliated, the humiliated the humiliated neck he raised the humiliated neck he raised the neck he raised!   Now the roar of rough chains that we had heard for three centuries of horror from the free, at the sacred cry that the world heard astonished, ceased Everywhere the inflamed San Martín “Liberty”, “Liberty” pronounced; and the Andes, rocking their base, announced it as well, in unison   With its influx the peoples woke up, and like lighting ran the opinion; from the Isthmus to Tierra del Fuego, and from Tierra del Fuego to the icy region Everyone vowed to break the link that Nature denied to both worlds, and break the sceptre that Spain had reclined, proud, on both   Lima fulfilled this solemn vow, and, severe, her anger showed by throwing out the powerless tyrant, who had been trying to extend his oppression On her endeavor the shackles cracked, and the furrows that she had repaired in herself stirred up her hatred and vengeance, inherited from her Inca and Lord   Countrymen, may we see her a slave no more If for three centuries she moaned, humiliated, forever may we vow that she be free, maintaining her own splendor Our arms, until today unarmed, be they always readying the cannon, that some day the beaches of Iberia will feel the horror of its roar   May we arouse the jealousy of Spain since it has a premonition, with want and furor, that in a contest of great nations our country will enter in comparison On the list formed by these we shall fill the line first, ahead of the ambitious Iberian tyrant, who devastated all of America   On its summit may the Andes sustain the two-color flag or standard, may it announce to the centuries the effort that being free gave us forever Under its shadow may we live calmly and, at the sun’s birth over its summits, may we renew the great oath we rendered to the God of Jacob  ",PER
PF,God created my country  Garland of multiple islands  With such delicate fragrances  linked up as an everlasting braid  Today let me praise you  Listen to your children’s voice  Crying out “Lavish your love”  So that Tahiti Nui can live,PYF
PG," O arise all you sons of this land, Let us sing of our joy to be free, Praising God and rejoicing to be Papua New Guinea  Shout our name from the mountains to seas Papua New Guinea; Let us raise our voices and proclaim Papua New Guinea  Now give thanks to the good Lord above For His kindness, His wisdom and love For this land of our fathers so free, Papua New Guinea  Shout again for the whole world to hear Papua New Guinea; We’re independent and we’re free, Papua New Guinea",PNG
PH,"Beloved country, Pearl of the Orient, The heart’s fervor, In your chest is ever alive  Chosen land, You are the cradle of the brave To the conquerors, You shall never win  Through the seas and mountains, Through the air and your blue sky, There is splendor in the poem and song For beloved freedom  The sparkle of your flag Is shining victoriously Its stars and sun Shall forever never dim  Land of the sun, of glory and our affections, Life is heaven in your arms; It is our pleasure, when there are oppressors, To die for you",PHL
PK,"Blessed be the sacred Land Happy be the bounteous realm Symbol of high resolve Land of Pakistan Blessed be thou citadel of faith  The order of this sacred land Is the might of the brotherhood of the People May the nation, the country, and the state Shine in glory everlasting Blessed be the goal of our ambition  This Flag of the Crescent and Star Leads the way to progress and perfection Interpreter of our past, glory of our present Inspiration of our future Symbol of Almighty’s protection",PAK
PL," Poland has not yet perished  As long as we live,  What foreign violence has seized,  With sabres in hand we will retrieve   March! March, Dabrowski!  From Italy to Poland!  Under your command  Unite us as a people   Cross the Vistula and Warta  We shall be Poles;  Bonaparte has shown us  The way to victory    Like Czarniecki to Poznan,  After the war with the Swede, To save our country, We shall return by sea    A father, in tears,  says to his Basia:  “Just listen, it seems that our people  are beating the drums” ",POL
PN," We from Pitcairn Island We welcome you today We’re glad you come to see us but soon you’ll sail away We hope you will remember, The love we try to show The friendships we have made today remains though you must go  We will miss you as you journey on your way We do wish that you with us could ever stay But we know that God will keep us in his hands Perhaps one day we’ll meet again on this far distant strand  Our Island is so tiny encircle by the sea Its shoreline is so rugged as you so well can see Yet we so dearly love it our homes are also there And if you come our way again our welcome you may share ",PCN
PR,"The land of Borinquen,  where I was born,  is a flower-garden  of magical brilliance  An ever-clear sky  is its canopy,  and the waves sing lullabies  at its feet  When Columbus reached these beaches,  full of awe he exclaimed,  “Oh! this is the lovely land  that I seek”  Borinquen is the daughter  of the sea and the sun the sea and the sun the sea and the sun the sea and the sun the sea and the sun",PRI
PS," My country, my country My country, oh my land, oh land of my forefathers Warrior, warrior Warrior, oh my people, Oh people of eternity  By my strong will and my inflaming rage, my volcanic revenge By my yearning blood for my land and home I have climbed the mountains and combated struggles I have subdued in the impossible and smashed the shackles   By the storming winds and the firing arms By my people determination, by the land of strife Palestine is my home, Palestine is my fire Palestine is my revenge, and the land of resistance   By vowing the oath beneath the shade of the flag By my land, by my people, by my firing pain Resistor I must survive, freedom fighter I must proceed Sacrificer I must end, until I return ",PSE
